field,subfield,task,n_papers,n_involved,prevalence
Engineering,Aerospace Engineering,"Acquire aerodynamic data using pressure taps, force balances, and flow visualization techniques.",99,10,0.10101
Engineering,Aerospace Engineering,Acquire satellite tracking and orbital state data from ground-based observation networks.,99,2,0.020202
Engineering,Aerospace Engineering,Apply wind tunnel wall corrections and blockage corrections to measured aerodynamic data.,99,2,0.020202
Engineering,Aerospace Engineering,Calculate orbital mechanics parameters and trajectory predictions from gravitational and propulsion models.,99,6,0.060606
Engineering,Aerospace Engineering,Characterize wind tunnel flow quality including turbulence intensity and flow uniformity.,99,3,0.030303
Engineering,Aerospace Engineering,Collect flight test data from onboard telemetry systems and ground tracking stations.,99,3,0.030303
Engineering,Aerospace Engineering,Collect vibration and structural response data using accelerometers and displacement sensors.,99,4,0.040404
Engineering,Aerospace Engineering,Configure structural test setups with specified loading conditions and boundary constraints.,99,8,0.080808
Engineering,Aerospace Engineering,Correlate propulsion performance models with engine test data across operating conditions.,99,10,0.10101
Engineering,Aerospace Engineering,Derive aerodynamic force and moment coefficients from governing equations for vehicle performance prediction.,100,18,0.18
Engineering,Aerospace Engineering,"Design wind tunnel test campaigns with controlled Mach number, Reynolds number, and angle of attack conditions.",99,10,0.10101
Engineering,Aerospace Engineering,Estimate propulsion system performance parameters from thermodynamic cycle analysis.,99,7,0.070707
Engineering,Aerospace Engineering,"Execute finite element analyses for structural stress, thermal, and dynamic response predictions.",99,13,0.131313
Engineering,Aerospace Engineering,Fabricate composite material specimens for mechanical property characterization.,99,3,0.030303
Engineering,Aerospace Engineering,Filter structural vibration signals to isolate modal frequencies from measurement noise.,99,1,0.010101
Engineering,Aerospace Engineering,Fit aerodynamic models to wind tunnel and flight test data for vehicle simulation databases.,99,5,0.050505
Engineering,Aerospace Engineering,Maintain wind tunnel facilities including flow conditioning systems and data acquisition hardware.,99,0,0.0
Engineering,Aerospace Engineering,Measure flow field properties using particle image velocimetry and hot-wire anemometry.,99,2,0.020202
Engineering,Aerospace Engineering,Perform trajectory simulations incorporating atmospheric models and vehicle dynamics.,99,10,0.10101
Engineering,Aerospace Engineering,"Plan propulsion system tests with controlled fuel flow rates, chamber pressures, and thermal conditions.",99,5,0.050505
Engineering,Aerospace Engineering,Predict structural loads and stress distributions using analytical methods and finite element formulations.,99,14,0.141414
Engineering,Aerospace Engineering,Prepare propellant samples and fuel mixtures for combustion testing.,99,2,0.020202
Engineering,Aerospace Engineering,Process flight test data to remove sensor drift and atmospheric disturbance effects.,99,0,0.0
Engineering,Aerospace Engineering,Propagate manufacturing tolerances and material property variations through structural analysis predictions.,99,0,0.0
Engineering,Aerospace Engineering,Quantify aerodynamic coefficient uncertainties from measurement repeatability and instrumentation accuracy.,99,6,0.060606
Engineering,Aerospace Engineering,"Record propulsion performance data including thrust, specific impulse, and combustion efficiency.",99,7,0.070707
Engineering,Aerospace Engineering,Run computational fluid dynamics simulations to predict aerodynamic loads and flow phenomena.,99,30,0.30303
Engineering,Aerospace Engineering,Service propulsion test stands and associated fuel delivery and measurement systems.,99,1,0.010101
Engineering,Aerospace Engineering,Simulate spacecraft attitude dynamics and control system performance.,99,3,0.030303
Engineering,Aerospace Engineering,Validate structural finite element models against experimental modal analysis results.,99,1,0.010101
Philosophy,Aesthetics,Account for researcher positionality and interpretive bias when analyzing aesthetic judgments and cultural meanings.,100,2,0.02
Philosophy,Aesthetics,"Acquire archival materials, literary texts, or visual media for close reading and interpretive analysis.",100,26,0.26
Philosophy,Aesthetics,"Code thematic patterns, narrative structures, or symbolic elements in literary and media texts.",100,5,0.05
Philosophy,Aesthetics,"Collect audience or reader response data through structured encounters with artworks, literary texts, or media.",100,2,0.02
Philosophy,Aesthetics,Consider whether interpretations of aesthetic value or meaning will hold across different cultural traditions and historical periods.,100,41,0.41
Philosophy,Aesthetics,"Design instruments to measure aesthetic preferences, emotional responses, or judgments of artistic quality.",100,1,0.01
Philosophy,Aesthetics,"Develop interview protocols to elicit participants' interpretations of artworks, texts, or media objects.",100,2,0.02
Philosophy,Aesthetics,Draw on critical theory and cultural studies frameworks to analyze relationships between aesthetic forms and social structures.,100,24,0.24
Philosophy,Aesthetics,"Engage with philosophical theories of beauty, taste, and aesthetic experience when framing research questions about art and cultural objects.",100,86,0.86
Philosophy,Aesthetics,"Identify and categorize aesthetic features, stylistic conventions, or genre markers across a corpus of works.",100,8,0.08
Agricultural Sciences,Agricultural Economics & Policy,Analyze household welfare effects of agricultural interventions using consumption or income data.,100,2,0.02
Agricultural Sciences,Agricultural Economics & Policy,Apply econometric methods to estimate supply and demand elasticities for agricultural commodities.,100,2,0.02
Agricultural Sciences,Agricultural Economics & Policy,Clean and harmonize agricultural survey data across multiple time periods or geographic regions.,100,14,0.14
Agricultural Sciences,Agricultural Economics & Policy,"Collect primary data through farmer interviews, household surveys, or focus groups in rural communities.",100,37,0.37
Agricultural Sciences,Agricultural Economics & Policy,Compile panel datasets combining farm-level records with regional economic and environmental indicators.,100,8,0.08
Agricultural Sciences,Agricultural Economics & Policy,"Conduct policy impact evaluations using difference-in-differences, regression discontinuity, or instrumental variable approaches.",100,0,0.0
Agricultural Sciences,Agricultural Economics & Policy,"Construct price indices, productivity measures, or risk indicators from raw agricultural data.",100,36,0.36
Agricultural Sciences,Agricultural Economics & Policy,Construct quasi-experimental research designs to evaluate the causal impacts of agricultural policies or programs.,100,1,0.01
Agricultural Sciences,Agricultural Economics & Policy,"Design survey instruments to collect farm-level data on production costs, input use, and management practices.",100,22,0.22
Agricultural Sciences,Agricultural Economics & Policy,Develop sampling strategies to obtain representative data from agricultural populations across diverse farming systems.,100,28,0.28
Agricultural Sciences,Agricultural Economics & Policy,"Develop theoretical frameworks linking market structures, trade policies, or subsidies to agricultural sector performance.",100,5,0.05
Agricultural Sciences,Agricultural Economics & Policy,Estimate production functions or cost functions to assess farm efficiency and technology adoption.,100,4,0.04
Agricultural Sciences,Agricultural Economics & Policy,"Formulate hypotheses about the effects of agricultural policies on farm productivity, land use, or food security outcomes.",100,9,0.09
Mathematics,Algebra,Construct explicit examples and counterexamples to test algebraic conjectures.,100,40,0.4
Mathematics,Algebra,Derive structural properties of algebraic objects from axiomatic definitions and established theorems.,100,100,1.0
Computer Science,Algorithms & Theory of Computation,Analyze convergence properties of iterative algorithms using mathematical proof techniques.,100,10,0.1
Computer Science,Algorithms & Theory of Computation,Construct benchmark problem instances with known optimal solutions to validate algorithmic correctness.,100,11,0.11
Computer Science,Algorithms & Theory of Computation,Derive computational complexity bounds for algorithms using asymptotic analysis and recurrence relations.,100,47,0.47
Computer Science,Algorithms & Theory of Computation,Design controlled computational experiments with systematic parameter variations to evaluate algorithm performance.,100,34,0.34
Computer Science,Algorithms & Theory of Computation,Establish theoretical guarantees for approximation algorithms by deriving performance ratios relative to optimal solutions.,100,13,0.13
