cluster_id,universal_task_id,universal_task,category,cluster_name,cluster_description,n_tasks
U01.01,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,"Obtain administrative, statistical, and proprietary datasets","Acquire existing structured data assembled by institutions: government administrative records, registries and vital statistics, national and cross-national statistical databases, firm and industry data, EHR extracts used as datasets, school and court records.",91
U01.02,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Collect digital trace and online content data,"Harvest data generated by digital activity: social media content and metadata, web crawling, platform and search logs, mobility traces from devices, usage telemetry, bibliometric and altmetric records.",24
U01.03,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,"Retrieve archival documents, texts, and cultural artifacts","Locate and gather primary sources held in collections: archives, manuscripts, rare books, legal corpora (case law, statutes, treaties), media archives, museum objects, correspondence, historical maps and photographs; includes compiling such sources into study corpora and examining them hands-on to record their material features.",79
U01.04,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,"Negotiate access, permissions, and research partnerships","Relationship and agreement work that unlocks data, sites, or populations: data-use and sharing agreements, coordination with clinics, schools, firms, agencies, archives; community gatekeepers and trust-building; permits; recruiting partner organizations.",215
U01.05,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,"Recruit, screen, and retain study participants","Build the human sample: recruitment channels, eligibility screening, enrollment, consent-adjacent logistics, compensation, follow-up contact and loss-to-follow-up management, response-rate strategy.",41
U01.06,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Administer surveys and standardized questionnaires,"Field self-report instruments at scale: population and panel surveys, employee and consumer surveys, dietary recalls and food-frequency questionnaires, exit polls, multi-mode fielding with quality monitoring.",46
U01.07,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,"Conduct interviews, focus groups, and oral histories","Elicit verbal accounts in conversation: in-depth and semi-structured interviews, elite and expert interviews, focus groups, oral histories, think-aloud and narrative interviews; recording and transcribing them.",71
U01.08,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Conduct ethnographic and observational fieldwork,"Observe people and settings in situ: participant observation, classroom, clinical, courtroom, and workplace observation, structured behavioral observation, site and public-space observation, field recording of naturally occurring speech, performance, and interaction.",69
U01.09,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Run controlled sessions with human participants,"Collect data in researcher-controlled sessions: standardized cognitive, clinical, and developmental assessments; behavioral and psychophysical tasks; economic games and incentivized choice experiments; survey and lab experiments; eye-tracking, EEG/MEG, physiological and motion recording of participants; usability studies.",84
U01.10,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,"Collect clinical measurements, images, and biospecimens from patients","Gather data from patients in care settings: clinical examinations and laboratory workups, patient imaging (MRI, CT, ultrasound, endoscopy), biopsy and surgical specimen collection, intraoperative and bedside monitoring, adverse-event ascertainment, clinical follow-up for outcomes.",98
U01.11,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Conduct experiments and procedures on animal models,"Work with laboratory and study animals: breeding and colony management, surgical and dosing procedures, disease-model induction, in vivo measurement and imaging, behavioral testing and training, humane monitoring, post-mortem examination; veterinary clinical data collection.",49
U01.12,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Collect field samples and specimens from natural environments,"Outdoor collection of physical material and organism records: ecological and taxonomic surveys, capture and marking, environmental media sampling (water, soil, air, sediment cores), geological and archaeological fieldwork and excavation, plot-based vegetation measurement.",73
U01.13,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Deploy and operate field instruments and sensor networks,"Install and run in-situ instrumentation that records autonomously: sensor networks, data loggers, camera traps and acoustic sensors, weather and seismic stations, oceanographic moorings and profilers, air-quality monitors.",27
U01.14,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Acquire remote sensing and observatory data,"Obtain observations from remote platforms and large facilities: satellite and aerial imagery, LiDAR, drone surveys, telescope and detector-facility data, retrievals from autonomous platforms (gliders, floats).",26
U01.15,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,"Synthesize and fabricate materials, compounds, and structures","Make physical matter for study: organic and inorganic synthesis, polymer and nanoparticle synthesis, crystal growth, thin-film deposition and lithographic patterning, alloy and ceramic processing, formulation of composites and devices' material layers.",68
U01.16,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Prepare and process samples for analysis,"Transform collected or synthesized material into measurable form: extraction and purification of analytes, nucleic acid/protein isolation, fixation, sectioning and staining prep, grinding, polishing and mounting, media and reagent preparation, standardized specimen conditioning.",43
U01.17,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Measure properties with laboratory instruments,"Operate bench instruments to characterize specimens and physical systems: spectroscopy, diffraction and scattering, electron and probe microscopy of materials, magnetometry and calorimetry, mechanical, thermal, electrical, and electrochemical property measurement, chromatography-based composition analysis.",216
U01.18,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,"Test devices, systems, and prototypes under operating conditions","System-level performance testing of engineered artifacts: device current–voltage and efficiency curves, battery cycling, engine and propulsion testing, machining and manufacturing trials, durability and stress testing, flight and field trials of built prototypes.",32
U01.19,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,"Perform molecular, cellular, and biochemical assays","Wet-lab measurement of biological material: PCR and sequencing data generation, omics profiling, immunoassays and blots, flow cytometry, functional and cell-based assays, histology and immunostaining readouts, microscopy imaging of biological specimens.",138
U01.20,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Create and maintain biological model systems and reagents,"Establish the living substrate experiments run on: cell and microbial culture, strain isolation, protein expression and purification, genetic engineering and transfection, stem-cell derivation and organoids, engineered animal and plant lines, antibody and reagent generation.",37
U01.21,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Apply experimental treatments and interventions per protocol,"Deliver the manipulation in an experiment or trial: administer drugs, stimuli, or somatic interventions to participants, deliver behavioral or instructional treatments, apply treatments to animals, plants, plots, or process systems, implement randomized field interventions.",20
U01.22,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Elicit expert judgments and structured annotations,"Produce data from human judgment itself: consensus panels and Delphi-style rating rounds, structured expert elicitation of weights and criteria, manual labeling and annotation for training and evaluation corpora.",6
U01.99,U01,Acquire or access primary data sources relevant to research questions.,Data Gathering,Other,Tasks under this universal task that did not fit any of its clusters.,8
U02.01,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Compare outcomes across experimental groups,"Standard statistical testing on designed experiments: treatment-vs-control comparisons, ANOVA/MANOVA, rank-based tests, dose-response group contrasts, manipulation checks. Examples: T0063, T2290, T2304, T2342, T5881, T1121.",60
U02.02,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Model observational associations with confounding adjustment,"Multivariable regression on observational data with covariate adjustment: the ""account for / adjust for / control for X when analyzing Y"" work, risk adjustment, confounding by indication, selection-bias awareness in estimation.",245
U02.03,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Identify causal effects with quasi-experimental designs,"Identification-strategy work: instrumental variables, difference-in- differences, regression discontinuity, propensity-score and matching designs, natural experiments, placebo and identification diagnostics.",51
U02.04,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Analyze time-to-event outcomes,"Survival analysis: censoring, competing risks, recurrence/progression/failure times, event-history analysis. Examples: T0036, T1030, T1113, T1357, T4501, T5507.",40
U02.05,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,"Model hierarchical, longitudinal, and panel data","Mixed/multilevel models for nested and repeated-measures structure, growth curves, panel fixed/random effects, clustered variance estimation, complex survey weighting. Examples: T0551, T0859, T1272, T4331, T5449, T5182.",53
U02.06,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Analyze time series and dynamic relationships,"Trend and break detection, cointegration and VAR, volatility modeling, spectral and state-space decomposition, filtering. Examples: T0375, T2443, T2975, T4371, T5508, T6840.",26
U02.07,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Develop and validate measurements (psychometrics),"Factor analysis and dimensionality, reliability and agreement, item analysis and DIF, measurement invariance, construct validity, rater agreement.",47
U02.08,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,"Assess external validity, robustness, and generalizability","Judging whether findings transport: the ""assess whether findings generalize across…"" family, sensitivity and robustness re-estimation, replication assessment, benchmarking against external reference data.",179
U02.09,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Quantify and propagate measurement uncertainty,"Metrology-flavored uncertainty work: error propagation through derived quantities, systematic-error budgets, replicate-based precision, confidence intervals on measured quantities. Examples: T0135, T6165, T6188, T6327, T6337, T6354.",123
U02.10,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Fit mechanistic models to extract physical parameters,"Curve fitting of theory-derived models to measured data: kinetics, isotherms, equivalent circuits, constitutive models, spectra-to-parameters, calibration curves. Examples: T3681, T4326, T4651, T4705, T4719, T4771.",140
