task,level,domain,field,subfield,n_substeps,researcher_hours,elapsed_hours,confidence
"Formulate hypotheses about soil nutrient cycling, carbon sequestration, or microbial community dynamics.",subfield,Life Sciences,Agricultural Sciences,Soil Science,10,49.58,117.75,medium
Develop hypotheses regarding soil-plant interactions and their effects on crop productivity or ecosystem function.,subfield,Life Sciences,Agricultural Sciences,Soil Science,11,63.05,220.55,medium
Construct field- or farm-scale nutrient and carbon budgets by integrating measured input and output flows.,subfield,Life Sciences,Agricultural Sciences,Soil Science,11,169.83,310.83,medium
"Design field plot experiments with appropriate soil sampling depths, replication, and spatial controls.",subfield,Life Sciences,Agricultural Sciences,Soil Science,12,39.75,261.25,medium
Establish long-term soil monitoring trials to assess treatment effects across multiple growing seasons.,subfield,Life Sciences,Agricultural Sciences,Soil Science,11,361.1,2260.57,medium
Sample plant root systems and rhizosphere soil to assess root-soil interactions.,subfield,Life Sciences,Agricultural Sciences,Soil Science,11,89.33,1369.73,medium
Collect soil leachate and runoff samples to quantify nutrient losses and erosion rates.,subfield,Life Sciences,Agricultural Sciences,Soil Science,14,190.25,217.65,medium
Extract and sequence microbial DNA from soil samples to characterize community composition and diversity.,subfield,Life Sciences,Agricultural Sciences,Soil Science,11,52.47,166.03,medium
"Harvest, process, and weigh plant material from sample plots to quantify biomass and yield",field,Life Sciences,Agricultural Sciences,Soil Science,12,27.87,87.62,medium
Survey organisms in field plots to identify species and record community composition and abundance,field,Life Sciences,Agricultural Sciences,Soil Science,7,49.87,120.78,medium
Derive standardized classifications or parameter estimates from measured data to characterize samples and populations,field,Life Sciences,Agricultural Sciences,Soil Science,7,10.87,11.2,medium
"Measure gas fluxes from soils, materials, or animals using chamber-based sampling and gas analysis",subfield,Life Sciences,Agricultural Sciences,Soil Science,12,19.5,28.93,medium
Quantify soil or plant properties using instrument- or image-based measurement procedures,subfield,Life Sciences,Agricultural Sciences,Soil Science,11,14.0,20.32,medium
Isolate and enumerate microbial populations from soil and plant samples to quantify their densities,subfield,Life Sciences,Agricultural Sciences,Soil Science,11,23.18,1150.83,medium
Prepare experimental materials to specified compositions for use in trials,field,Life Sciences,Agricultural Sciences,Soil Science,9,9.82,296.42,medium
Assemble plant material and apply management operations to establish and maintain experimental plantings,field,Life Sciences,Agricultural Sciences,Soil Science,9,75.42,318.33,medium
Conduct controlled laboratory soil incubations with repeated sampling to quantify biogeochemical transformations over time.,subfield,Life Sciences,Agricultural Sciences,Soil Science,15,176.3,520.63,medium
"Assess mycorrhizal fungi in roots and soil using staining, spore extraction, and light microscopy.",subfield,Life Sciences,Agricultural Sciences,Soil Science,11,67.13,70.73,medium
Process soil microbial sequencing data to identify taxa and functional gene abundances.,subfield,Life Sciences,Agricultural Sciences,Soil Science,12,11.73,76.33,medium
Compare soil properties and crop responses between amended and control plots using appropriate statistical methods.,subfield,Life Sciences,Agricultural Sciences,Soil Science,9,23.42,23.42,medium
Analyze spatial variability in soil parameters across field sites using geostatistical approaches.,subfield,Life Sciences,Agricultural Sciences,Soil Science,11,116.03,226.83,medium
Perform in vitro assays with sample extracts or purified proteins to characterize their functional and biochemical properties,domain,Life Sciences,Agricultural Sciences,Soil Science,8,17.37,30.1,medium
Characterize microbial isolates with laboratory assays to determine their functional traits,field,Life Sciences,Agricultural Sciences,Soil Science,12,64.67,871.72,medium
Compute derived indices from primary measurements using established formulas to characterize system performance,field,Life Sciences,Agricultural Sciences,Soil Science,7,10.38,10.38,medium
Fractionate soil by sieving and dispersion to separate aggregate size classes and organic matter pools.,subfield,Life Sciences,Agricultural Sciences,Soil Science,11,63.0,2099.7,medium
Calibrate soil- or tissue-test interpretation thresholds from crop response data to derive nutrient recommendations.,subfield,Life Sciences,Agricultural Sciences,Soil Science,11,46.05,49.38,medium
Apply stable isotope tracers to partition nutrient sources and quantify fertilizer fate in soil-plant systems.,subfield,Life Sciences,Agricultural Sciences,Soil Science,14,123.83,165.83,medium
"Calibrate and maintain soil analysis instruments including pH meters, spectrophotometers, and elemental analyzers.",subfield,Life Sciences,Agricultural Sciences,Soil Science,11,5.62,9.48,medium
Quantify chemical constituents of biological or environmental samples using standard laboratory assays to characterize their composition,domain,Life Sciences,Agricultural Sciences,Soil Science,8,17.8,46.57,medium
Measure soil physical and hydraulic properties such as bulk density and water retention using field and laboratory apparatus.,subfield,Life Sciences,Agricultural Sciences,Soil Science,14,47.83,843.33,medium
"Formulate hypotheses about genetic factors controlling crop yield, disease resistance, or stress tolerance traits.",subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,9,40.17,89.5,medium
