task,level,domain,field,subfield,relation_aggregate,relation_evaluate,relation_produce,relation_communicate,relation_support,medium_information,medium_materials,medium_people,mode_theoretical,mode_quantitative,mode_qualitative,mode_design,mode_none,cognitive_complexity,physical_deployment,regulatory_restriction,rl_physical_gate_pass,rl_verification,rl_simulability,rl_feedback_density,pasteur_applies,pasteur_understanding,pasteur_use,pasteur_quadrant,years_education,cdr_rl_source
Identify gaps in existing literature to formulate novel research questions.,universal,,,,60.0,15.0,20.0,5.0,0.0,95.0,0.0,5.0,30.0,10.0,50.0,0.0,10.0,2.34,0.0,0.01,1.0,4.64,7.82,4.85,yes,4.0,2.0,Bohr,18.0,substep_mean
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,,,,20.0,5.0,65.0,8.0,2.0,90.0,5.0,5.0,40.0,25.0,25.0,5.0,5.0,2.65,0.03,0.07,1.0,4.42,7.83,4.71,yes,4.0,2.0,Bohr,16.0,substep_mean
Brainstorm potential research directions through discussions with colleagues and peers.,universal,,,,25.0,10.0,45.0,15.0,5.0,55.0,0.0,45.0,55.0,5.0,10.0,15.0,15.0,2.32,0.2,0.04,0.91,2.48,4.2,2.52,yes,3.0,3.0,neither,16.0,substep_mean
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,,,,75.0,10.0,5.0,10.0,0.0,95.0,0.0,5.0,15.0,5.0,20.0,0.0,60.0,2.23,0.01,0.04,1.0,5.06,8.39,5.68,yes,4.0,3.0,Bohr,16.0,substep_mean
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,,,,15.0,0.0,75.0,5.0,5.0,40.0,40.0,20.0,5.0,25.0,60.0,0.0,10.0,2.27,0.6,0.37,0.75,3.89,5.59,3.71,yes,3.0,3.0,neither,16.0,substep_mean
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,,,,15.0,5.0,60.0,15.0,5.0,75.0,10.0,15.0,10.0,35.0,15.0,35.0,5.0,2.13,0.47,0.37,0.87,5.3,6.36,5.11,yes,3.0,3.0,neither,18.0,substep_mean
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,,,,5.0,10.0,5.0,15.0,65.0,20.0,0.0,80.0,0.0,0.0,5.0,5.0,90.0,1.88,0.26,2.69,0.92,4.85,5.86,4.27,no,,,n.a.,16.0,substep_mean
Acquire or access primary data sources relevant to research questions.,universal,,,,55.0,5.0,30.0,2.0,8.0,75.0,15.0,10.0,2.0,35.0,25.0,18.0,20.0,1.91,1.17,1.2,0.63,4.62,4.24,4.02,yes,3.0,3.0,neither,16.0,substep_mean
"Curate and manage datasets, ensuring proper documentation and version control.",universal,,,,10.0,5.0,15.0,10.0,60.0,90.0,5.0,5.0,0.0,10.0,5.0,60.0,25.0,1.69,0.03,0.33,1.0,7.36,8.94,7.73,yes,2.0,3.0,neither,16.0,substep_mean
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,,,,5.0,5.0,80.0,5.0,5.0,95.0,2.0,3.0,2.0,65.0,8.0,20.0,5.0,1.82,0.01,0.11,1.0,7.44,9.11,8.07,yes,3.0,3.0,neither,16.0,substep_mean
