task,level,domain,field,subfield,importance,pct_researchers,frequency,classification
"Interpret authoritative legal sources, such as statutory texts or religious and customary materials, to determine the doctrinal rules they establish",field,Social Sciences,Law,Criminal Law & Criminology,5,100,5,Core
"Scrutinize the scientific, technical, or statistical evidence invoked in legal claims to verify its validity",field,Social Sciences,Law,Criminal Law & Criminology,3,90,3,Core
Apply legal rules to actual or hypothetical fact patterns to determine their legal characterization and consequences,field,Social Sciences,Law,Criminal Law & Criminology,4,100,4,Core
Reconcile conflicting legal norms or authorities to determine which rule governs,field,Social Sciences,Law,Criminal Law & Criminology,4,98,3,Core
Compare the legal treatment of an issue across jurisdictions or coexisting legal regimes to map variation,field,Social Sciences,Law,Criminal Law & Criminology,4,95,3,Core
Analyze enacted or proposed legal changes to assess their scope and prospective effects,field,Social Sciences,Law,Criminal Law & Criminology,4,97,4,Core
Construct normative and doctrinal arguments to resolve an unsettled or contested legal question,field,Social Sciences,Law,Criminal Law & Criminology,5,100,4,Core
"Examine legal provisions against related or higher-ranking norms to identify gaps, inconsistencies, and conflicts",field,Social Sciences,Law,Criminal Law & Criminology,4,96,3,Core
"Situate the analysis within established theoretical or conceptual debates in the field, using them to frame research questions and interpret legal norms.",field,Social Sciences,Law,Criminal Law & Criminology,4,98,4,Core
Examine judicial decisions and institutional practices against governing legal principles to assess their coherence,field,Social Sciences,Law,Criminal Law & Criminology,4,99,4,Core
"Synthesize scientific, economic, or other empirical evidence to establish the factual premises of legal arguments",field,Social Sciences,Law,Criminal Law & Criminology,3,88,3,Core
Identify gaps in existing literature to formulate novel research questions.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,97,3,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,93,3,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,100,3,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",5,100,4,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",3,90,3,Core
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,95,3,Core
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",3,88,2,Core
Acquire or access primary data sources relevant to research questions.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,98,3,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",5,100,4,Core
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,95,3,Core
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",3,90,3,Core
Develop and validate computational models to simulate or predict phenomena.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",3,75,2,Core
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,96,3,Core
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,97,3,Core
Prepare grant proposals to secure funding for research projects.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,90,2,Core
"Present research findings at conferences, seminars, and symposia.",universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,97,2,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,95,2,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",3,88,3,Core
"Serve on editorial boards, grant review panels, or professional committees.",universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",3,85,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",3,80,3,Core
Develop and deliver course curricula in specialized research areas.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",3,85,3,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",3,82,3,Core
"Manage research budgets, personnel, and project timelines.",universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,90,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,97,4,Core
