task,level,cluster_id,universal_task_id
"Acquire medical imaging data (MRI, CT, X-ray, etc.).",domain,U01.10,U01
Acquire microscopy or imaging data of biological samples.,domain,U01.19,U01
"Acquire secondary data from administrative records, censuses, or public datasets.",domain,U01.01,U01
Address selection bias and confounding when analyzing observational data.,domain,U02.02,U02
"Adjudicate among competing interpretations, weighing textual and contextual evidence.",domain,U28.01,U28
"Administer standardized questionnaires and rating scales to participants to collect self-reported symptoms, behaviors, and psychosocial outcomes",domain,U01.06,U01
"Analyze documentary and archival sources, such as policy texts or legislation, as primary evidence on institutional practices and contexts",domain,U28.04,U28
"Analyze legal, policy, or institutional documents as external evidence bearing on the claims under examination",domain,U28.06,U28
"Analyze time-to-event outcomes (e.g., survival, disease progression).",domain,U02.04,U02
"Annotate a corpus of texts, recordings, or images according to an explicit coding scheme.",domain,U04.06,U04
Apply a proposed method or technique to real-world data or cases to demonstrate its practical applicability and the interpretation of its results.,domain,U09.09,U09
Apply calibration corrections and noise filtering to raw measurements.,domain,U04.01,U04
Apply concepts or theories drawn from outside the domain under study as interpretive frameworks for its phenomena,domain,U12.01,U12
"Assemble benchmark datasets, problem instances, or test cases on which methods are evaluated.",domain,U06.03,U06
Assess the reliability and precision of measurements through replicate testing and comparison with reference procedures,domain,U07.09,U07
Assess the reliability and validity of measurement instruments before substantive analysis,domain,U07.07,U07
Build custom apparatus and prototype hardware to enable experiments and measurements beyond commercial capability,domain,U16.06,U16
"Calculate population-level disease frequency and burden measures from registry, mortality, or survey data using population denominators",domain,U02.11,U02
Calibrate instruments and characterize measurement error.,domain,U16.01,U16
"Check claims, interpretations, or data against independent sources to establish accuracy and correct errors",domain,U28.06,U28
Clean and recode self-reported or text-based responses.,domain,U04.02,U04
Code qualitative data from interviews or open-ended responses.,domain,U04.06,U04
Code qualitative interview and focus-group data thematically to identify recurring themes and categories,domain,U04.06,U04
"Collect biological specimens such as tissue, blood, or cell cultures.",domain,U01.10,U01
"Collect experimental data using detectors, sensors, or spectrometers.",domain,U01.17,U01
Collect information from local stakeholders through interviews or questionnaires to document their knowledge and practices,domain,U01.07,U01
"Collect observational data from telescopes, satellites, or field instruments.",domain,U01.14,U01
Collect patient data from electronic health records or clinical registries.,domain,U01.01,U01
"Collect primary data through surveys, interviews, or observations of people.",domain,U01.99,U01
Combine multiple indicators into composite indices to measure latent constructs and compare units,domain,U04.05,U04
Compare a work with its counterpart in another medium to identify shifts in form and meaning,domain,U28.01,U28
"Compare candidate materials, designs, or technologies against defined technical and application criteria to assess relative suitability",domain,U30.07,U30
Compare documented cases or practices across communities or institutions to explain divergent outcomes,domain,U28.07,U28
"Compare results against independent datasets, models, or reference cases to quantify agreement and validate them",domain,U02.08,U02
Compare sequences across genomes or reference databases to identify homologous and lineage-specific genes,domain,U02.12,U02
Compare treatment and control groups using statistical tests.,domain,U02.01,U02
Compute statistical and spectral descriptors from measured or simulated signals to characterize system behavior,domain,U02.06,U02
"Consider whether findings will generalize across populations, time periods, or contexts.",domain,U02.08,U02
"Construct a rigorous proof, deriving the result from axioms, definitions, and established theorems.",domain,U29.01,U29
Coordinate with clinical sites or hospitals for data access or patient recruitment.,domain,U05.01,U05
Coordinate with organizations for data access or to recruit study participants.,domain,U05.01,U05
"Corroborate findings by triangulating independent data sources, methods, or informants to establish the credibility of interpretations",domain,U28.06,U28
"Define benchmarks, evaluation metrics, and baselines against which a method will be judged.",domain,U07.14,U07
Derive analytic variables or indicators from existing records and data sources to operationalize study constructs,domain,U04.05,U04
Derive composite indices and scores from multiple observed indicators to characterize participants for analysis,domain,U04.05,U04
Derive practical recommendations for professional practice or policy from research findings,domain,U10.01,U10
"Derive predictions from physical laws, mathematical models, or first principles.",domain,U09.01,U09
Derive threshold or reference values from population data to classify individuals or samples,domain,U02.11,U02
"Design a corpus or sampling strategy for the sources, periods, or languages to be examined.",domain,U07.06,U07
"Design an algorithm, estimator, or proof strategy and specify the guarantees it should satisfy.",domain,U09.07,U09
Design and deliver instructional materials or programmes for a target audience of learners or community members,domain,U08.01,U08
Design and deliver instructional or behavioral intervention protocols to serve as the treatment under study,domain,U07.01,U07
Design clinical studies or trials with appropriate controls and endpoints.,domain,U07.02,U07
"Design controlled experiments with appropriate sample sizes, controls, and randomization.",domain,U07.01,U07
Design experiments with controlled environmental conditions.,domain,U07.11,U07
Design interview or focus group protocols to collect qualitative data.,domain,U07.05,U07
Design population-based health surveys with probability sampling to obtain representative population estimates,domain,U07.06,U07
Design sampling and eligibility criteria to select participants or study units for data collection,domain,U07.06,U07
"Design surveys or questionnaires to measure attitudes, behaviors, or experiences.",domain,U07.03,U07
"Develop conceptual frameworks, typologies, or definitions by synthesizing existing theory to organize and explain a focal phenomenon",domain,U12.03,U12
Develop custom instrumentation or computational tools tailored to specific research measurement needs,domain,U16.06,U16
"Develop definitions, protocols, and practice recommendations through structured expert consensus",domain,U07.15,U07
"Develop new concepts, categories, or typologies to organize and explain phenomena that existing frameworks leave unaccounted for",domain,U12.03,U12
Draw on the researcher's own experience and background as primary evidence for analysis,domain,U28.06,U28
Engage with behavioral or institutional theories when framing research questions.,domain,U12.01,U12
Engineer genetic constructs and vectors for targeted expression or silencing of genes in cells,domain,U01.20,U01
"Ensure compliance with patient privacy regulations (e.g., HIPAA).",domain,U19.03,U19
"Establish asymptotic, convergence, or computational-complexity guarantees for a method.",domain,U09.07,U09
"Establish the text or object of study, determining edition, provenance, authorship, and variants.",domain,U28.05,U28
Estimate costs and resource use of health conditions and alternative interventions to inform resource-allocation decisions,domain,U02.11,U02
Estimate treatment effects while accounting for confounding in clinical data.,domain,U02.02,U02
"Evaluate existing concepts, arguments, or frameworks by reconstructing their underlying assumptions to assess their coherence and scope",domain,U28.03,U28
"Evaluate programs, policies, or rules against their stated objectives using empirical evidence on how they operate in practice",domain,U02.99,U02
Evaluate the diagnostic accuracy of a test by comparing its results against an established reference standard,domain,U02.07,U02
Evaluate the reliability and validity of measurement and coding procedures against reference standards or repeated observations,domain,U07.07,U07
Extract and fractionate compounds from biological material to prepare fractions for downstream analysis,domain,U01.16,U01
Fit theoretical models to experimental or observational data.,domain,U09.05,U09
Follow biosafety protocols when handling biological materials.,domain,U16.04,U16
"Follow safety protocols for hazardous materials, radiation, or high-energy equipment.",domain,U16.04,U16
"Formulate conjectures, theorems, or formal claims to be proved or disproved.",domain,U12.04,U12
"Formulate hypotheses about biological mechanisms, pathways, or evolutionary processes.",domain,U12.02,U12
"Formulate hypotheses about disease mechanisms, risk factors, or treatment effects.",domain,U12.02,U12
"Frame an interpretive question in relation to a historiographical, critical, or philosophical tradition.",domain,U13.01,U13
"Generate or acquire sequencing data (genomic, transcriptomic, or proteomic).",domain,U01.19,U01
Genotype participants' biospecimens to detect genetic variants defining disease-relevant or biological subgroups,domain,U01.19,U01
"Handle rare, fragile, or culturally sensitive materials according to conservation and institutional protocols.",domain,U01.03,U01
Harmonize clinical variables across different coding systems or data sources.,domain,U04.02,U04
Implement methods as working code and verify correctness against known cases or a proof assistant.,domain,U09.08,U09
Interpret measured spectra to determine composition and structural characteristics of samples,domain,U02.10,U02
"Locate primary sources in archives, manuscript collections, museums, or field sites.",domain,U01.03,U01
Maintain experimental apparatus and laboratory equipment.,domain,U16.02,U16
Maintain laboratory equipment and manage stocks of reagents or specimens.,domain,U16.02,U16
Maintain laboratory notebooks documenting experimental conditions and procedures.,domain,U06.03,U06
"Manage computational resources such as clusters, accelerators, and long-running jobs.",domain,U16.05,U16
Monitor and record adverse events and tolerability during study interventions to characterize safety,domain,U01.10,U01
"Negotiate access to archives, collections, or field sites and secure the necessary permissions.",domain,U19.04,U19
"Observe obligations to the communities whose histories, languages, or cultural heritage are studied, including protocols for sacred or sensitive material.",domain,U19.04,U19
Obtain IACUC approval for research involving animals.,domain,U19.01,U19
Obtain IRB approval and informed consent for research with human subjects.,domain,U19.01,U19
Obtain IRB approval and informed consent for research with patients.,domain,U19.01,U19
Perform in situ hybridization on tissue sections to localize gene transcript expression,domain,U01.19,U01
