field,subfield_slug,topic_id,topic_name,confidence,reason,n_papers
Anthropology,linguistic_anthropology,14159,Linguistics and Literary Studies,high,Linguistics and literary studies overlap directly,6109
Anthropology,linguistic_anthropology,12090,Language and cultural evolution,high,Language and cultural evolution is core,4093
Anthropology,linguistic_anthropology,11148,"Language, Metaphor, and Cognition",medium,"Language, metaphor, cognition; discourse analysis overlap",14320
Anthropology,medical_anthropology,10149,Anthropological Studies and Insights,high,General anthropology; includes medical anthropology work,7075
Arts,digital_and_new_media_arts,12377,Digital Humanities and Scholarship,high,"Digital humanities, computational creative scholarship",3637
Arts,digital_and_new_media_arts,13308,Cybernetics and Technology in Society,high,"Cybernetics, technology and culture overlap",644
Arts,digital_and_new_media_arts,12632,Visual Culture and Art Theory,medium,Visual culture theory includes new media,3721
Arts,digital_and_new_media_arts,13310,Subtitles and Audiovisual Media,medium,Audiovisual/screen media practice,2389
Arts,film_studies,13310,Subtitles and Audiovisual Media,high,"Audiovisual media, subtitling, screen texts",2389
Arts,film_studies,14192,"Literature, Film, and Journalism Analysis",high,Explicitly includes film analysis,1247
Arts,film_studies,12868,Photography and Visual Culture,medium,"Visual culture, photographic/moving image studies",3159
Arts,film_studies,12390,Comics and Graphic Narratives,medium,"Graphic narratives, adaptation, media studies overlap",2798
Arts,theater_and_performance_studies,12912,"Shakespeare, Adaptation, and Literary Criticism",high,"Shakespeare drama, staging, adaptation studies",4747
Biology,bioinformatics_and_computational_biology,10887,Bioinformatics and Genomic Networks,high,Core bioinformatics and genomic network analysis,14490
Chemistry,environmental_chemistry,10139,Heavy metals in environment,high,Heavy metals in environment: core environmental chemistry,33941
Chemistry,environmental_chemistry,10016,Adsorption and biosorption for pollutant removal,high,Adsorption for pollutant removal,37667
Chemistry,environmental_chemistry,10122,Toxic Organic Pollutants Impact,high,Toxic organic pollutants,31066
Chemistry,environmental_chemistry,10419,Pharmaceutical and Antibiotic Environmental Impacts,high,Pharmaceutical environmental contaminants,21935
Chemistry,environmental_chemistry,10819,Mercury impact and mitigation studies,high,Mercury contamination chemistry,19280
Chemistry,environmental_chemistry,10710,Arsenic contamination and mitigation,high,Arsenic contamination chemistry,18073
Chemistry,environmental_chemistry,10447,Environmental Toxicology and Ecotoxicology,high,Environmental toxicology and ecotoxicology,22376
Chemistry,environmental_chemistry,10210,Advanced oxidation water treatment,medium,Advanced oxidation water treatment chemistry,18207
Chemistry,environmental_chemistry,10686,Effects and risks of endocrine disrupting chemicals,medium,Endocrine disrupting chemicals,16102
Chemistry,environmental_chemistry,10075,Atmospheric chemistry and aerosols,medium,Atmospheric chemistry and aerosols,39385
Communication & Media Studies,health_communication,12593,Communication in Education and Healthcare,high,Communication in healthcare settings directly relevant,5530
Communication & Media Studies,health_communication,11488,Climate Change Communication and Perception,medium,Risk communication and public perception research,8724
Communication & Media Studies,intercultural_communication,11454,Cultural Differences and Values,high,Cross-cultural values research; core intercultural communica,10516
Communication & Media Studies,rhetoric_and_public_discourse,11148,"Language, Metaphor, and Cognition",high,Metaphor and persuasive language central to rhetoric,14320
Earth & Planetary Sciences,mineralogy_and_petrology,10001,Geological and Geochemical Analysis,high,Geochemistry and petrological analysis core overlap,77500
Education,language_and_literacy_education,10103,Reading and Literacy Development,high,Reading and literacy development core fit,22314
Education,medical_and_health_professions_education,10843,Diversity and Career in Medicine,high,"Medical career diversity, training pipeline research",8896
Education,physical_education_and_kinesiology,11400,Motivation and Self-Concept in Sports,high,"Sport motivation, core kinesiology topic",9790
Education,physical_education_and_kinesiology,10813,Sport Psychology and Performance,high,Sport psychology and athletic performance,6999
Geography,human_geography,11420,Geographies of human-animal interactions,high,Cultural geography; human-animal spatial relations,8725
Geography,physical_geography,10757,Geographic Information Systems Studies,high,GIS methods central to physical geography,10216
Geography,physical_geography,11980,Human Mobility and Location-Based Analysis,medium,"spatial analysis, geospatial mobility data",9869
Geography,tourism_and_leisure_geography,10055,Diverse Aspects of Tourism Research,high,Core tourism research topic,22407
History,art_and_intellectual_history,13922,Historical Art and Culture Studies,high,Historical art and culture scholarship,3350
History,art_and_intellectual_history,14191,Historical Art and Architecture Studies,high,Historical art and architecture studies,639
History,early_modern_history,12409,Reformation and Early Modern Christianity,high,Reformation is core early modern history,7442
History,early_modern_history,12517,Seventeenth-Century Political and Philosophical Thought,high,Seventeenth-century thought squarely early modern,2384
History,political_and_military_history,13938,Historical and Contemporary Political Dynamics,high,"Political dynamics history, direct fit",5239
History,political_and_military_history,12337,Italian Fascism and Post-war Society,high,"Fascism, war, and postwar politics",6608
Languages & Linguistics,computational_linguistics,10034,"Syntax, Semantics, Linguistic Variation",high,Syntax/semantics core to computational modeling,12860
Languages & Linguistics,historical_and_comparative_linguistics,14210,Historical and Linguistic Studies,high,Directly historical-linguistic研究; core field overlap,4422
Languages & Linguistics,psycholinguistics,10034,"Syntax, Semantics, Linguistic Variation",high,Syntax/semantics processing overlaps psycholinguistic resear,12860
Law,comparative_law,13710,European and International Law Studies,high,European and international law comparative studies,9113
Law,comparative_law,10749,International Law and Human Rights,high,International law and human rights comparison,10244
Law,corporate_and_commercial_law,14102,Corporate Governance and Law,high,Directly corporate governance and law,4020
Law,corporate_and_commercial_law,12040,International Arbitration and Investment Law,high,Commercial arbitration and investment law,7278
Law,environmental_law,10471,Climate Change Policy and Economics,high,"Climate policy, regulation, treaty compliance",17509
Law,family_law,11380,Child Welfare and Adoption,high,"Child welfare, adoption, custody law",8605
Law,family_law,10380,Intimate Partner and Family Violence,high,Domestic violence law and protective orders,18217
Law,health_law_and_bioethics,11678,Healthcare Decision-Making and Restraints,high,"Healthcare decision-making, restraints, consent, capacity",7244
Law,health_law_and_bioethics,11531,Healthcare Systems and Reforms,medium,Health system reform law and policy,8110
